tags: ἕρμαιον ἕρμαιον-2 version

2.1.1|Ὁ ἵππος τὸν ταῦρον βλέπει.|<span class="sujet">Ὁ ἵππος</span> <span class="COD">τὸν ταῦρον</span><sub>[COD]</sub> <span class="verbe">βλέπει</span>.|Le cheval regarde le taureau.

2.1.2|Τὸν ἵππον ὁ ταῦρος βλέπει.|<span class="COD">Τὸν ἵππον</span><sub>[COD]</sub> <span class="sujet">ὁ ταῦρος</span> <span class="verbe">βλέπει</span>.|Le taureau regarde le cheval.

2.1.3|Οἱ ἵπποι βλέπουσι τοὺς ταύρους.|<span class="sujet">Οἱ ἵπποι</span> <span class="verbe">βλέπουσι</span> <span class="COD">τοὺς ταύρους</span><sub>[COD]</sub>.|Les chevaux regardent les taureaux.

2.1.4|Βλέπουσι τοὺς ἵππους οἱ ταῦροι.|<span class="verbe">Βλέπουσι</span> <span class="COD">τοὺς ἵππους</span><sub>[COD]</sub> <span class="sujet">οἱ ταῦροι</span>.|Les taureaux regardent les chevaux.

2.1.5|Τὸν πτωχὸν ὁ δοῦλος βλέπει.|<span class="COD">Τὸν πτωχὸν</span><sub>[COD]</sub> <span class="sujet">ὁ δοῦλος</span> <span class="verbe">βλέπει</span>.|L'esclave regarde le mendiant.

2.1.6|Ὁ πτωχὸς τὸν δοῦλον βλέπει.|<span class="sujet">Ὁ πτωχὸς</span> <span class="COD">τὸν δοῦλον</span><sub>[COD]</sub> <span class="verbe">βλέπει</span>.|Le mendiant regarde l'esclave.

2.1.7|Οἱ δοῦλοι βλέπουσι τοὺς πτωχούς.|<span class="sujet">Οἱ δοῦλοι</span> <span class="verbe">βλέπουσι</span> <span class="COD">τοὺς πτωχούς</span><sub>[COD]</sub>.|Les esclaves regardent les mendiants.

2.1.8|Οἱ πτωχοὶ βλέπουσι τοὺς δούλους.|<span class="sujet">Οἱ πτωχοὶ</span> <span class="verbe">βλέπουσι</span> <span class="COD">τοὺς δούλους</span><sub>[COD]</sub>.|Les mendiants regardent les esclaves.

2.1.9|Ὁ τύραννος ψέγει τὸν φιλόσοφον.|<span class="sujet">Ὁ τύραννος</span> <span class="verbe">ψέγει</span> <span class="COD">τὸν φιλόσοφον</span><sub>[COD]</sub>.|Le dictateur critique le philosophe.

2.1.10|Τὸν τύραννον ψέγει ὁ φιλόσοφος.|<span class="COD">Τὸν τύραννον</span><sub>[COD]</sub> <span class="verbe">ψέγει</span> <span class="sujet">ὁ φιλόσοφος</span>.|Le philosophe critique le dictateur.

2.1.11|Οἱ τύραννοι ψέγουσι τοὺς φιλοσόφους.|<span class="sujet">Οἱ τύραννοι</span> <span class="verbe">ψέγουσι</span> <span class="COD">τοὺς φιλοσόφους</span><sub>[COD]</sub>.|Les dictateurs critiquent les philosophes.

2.1.12|Ψέγουσι τοὺς τυράννους οἱ φιλόσοφοι.|<span class="verbe">Ψέγουσι</span> <span class="COD">τοὺς τυράννους</span><sub>[COD]</sub> <span class="sujet">οἱ φιλόσοφοι</span>.|Les philosophes critiquent les dictateurs.



2.5.1|Ποῦ ἐστιν ὁ γεωργός&nbsp;; &ndash;&nbsp;Ἐν τῷ ἀγρῷ ἐστιν.|<span class="verbe adv">Ποῦ</span> <span class="verbe">ἐστιν</span> <span class="sujet">ὁ γεωργός</span>&nbsp;; &ndash;&nbsp;<span class="CCL"><span class="préposition">Ἐν</span><sub>+dat.</sub> <span class="régime">τῷ ἀγρῷ</span></span><sub>[loc.]</sub> <span class="verbe">ἐστιν</span>.|Où est le paysan&nbsp;? &ndash;&nbsp;Il est dans le champ.

