tags: ἕρμαιον ἕρμαιον-4 version

4.5.1|Τοῖς πονηροῖς οὐ πολλοί εἰσι φίλοι.|<span class="COI">Τοῖς πονηροῖς</span> <span class="verbe adv">οὐ</span> <span class="attribut">πολλοί</span> <span class="verbe">εἰσι</span> <span class="sujet">φίλοι</span>.|Les méchants n'ont pas beaucoup d'amis. (litt. “Les amis ne sont pas nombreux pour les méchants.”)

4.5.2|Οἱ χρηστοὶ τοὺς πονηροὺς οὐ φιλοῦσιν.|<span class="sujet">Οἱ χρηστοὶ</span> <span class="COD">τοὺς πονηροὺς</span> <span class="verbe adv">οὐ</span> <span class="verbe">φιλοῦσιν</span><sub>-έ-ουσῐ</sub>.|Les honnêtes gens n'aiment pas les personnes malhonnêtes.

4.5.3|Ὑπὸ τῶν πονηρῶν οἱ χρηστοὶ οὐ φιλοῦνται.|<span class="COI"><span class="préposition">Ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν πονηρῶν</span></span> <span class="sujet">οἱ χρηστοὶ</span> <span class="verbe adv">οὐ</span> <span class="verbe">φιλοῦνται</span><sub>-έ-ονται / pass.</sub>.|Les personnes bienveillantes ne sont pas aimées des gens malveillants.

4.5.4|Πονηροῖς λόγοις λυποῦσι τοὺς ἀνθρώπους οἱ κακοί.|<span class="COI"><span class="adj">Πονηροῖς</span> λόγοις</span> <span class="verbe">λυποῦσι</span><sub>-έ-ουσῐ</sub> <span class="COD">τοὺς ἀνθρώπους</span> <span class="sujet">οἱ κακοί</span>.|Les gens mal intentionnés affligent les hommes de viles paroles.

4.5.5|Δοῦλοί εἰσι πολλοὶ ἄνθρωποι τῶν καιρῶν.|<span class="attribut">Δοῦλοί</span> <span class="verbe">εἰσι</span> <span class="sujet"><span class="adj">πολλοὶ</span> ἄνθρωποι</span> <span class="attribut"><span class="CDN">τῶν καιρῶν</span></span>.|Bien des hommes sont esclaves des circonstances.

4.5.6|Οἱ θεοὶ τιμῶνται ὑπὸ τῶν ἀνθρώπων.|<span class="sujet">Οἱ θεοὶ</span> <span class="verbe">τιμῶνται</span><sub>-ά-ονται / pass.</sub> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν ἀνθρώπων</span></span>.|Les dieux sont honorés par les hommes.

4.5.7|Ποῖ οἱ καρποὶ ὑπὸ τοῦ νέου δούλου φέρονται; &ndash;&nbsp;Εἰς τὸν οἶκον φέρονται.|<span class="verbe adv">Ποῖ</span> <span class="sujet">οἱ καρποὶ</span> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τοῦ <span class="adj">νέου</span> δούλου</span></span> <span class="verbe">φέρονται</span><sub>/ pass.</sub>; &ndash;&nbsp;<span class="CCL"><span class="préposition">Εἰς</span><sub>+acc.</sub> <span class="régime">τὸν οἶκον</span></span> <span class="verbe">φέρονται</span><sub>/ pass.</sub>.|Où les fruits sont-ils portés par le jeune esclave&nbsp;? &ndash;&nbsp;Ils sont portés vers la maison.

4.5.8|Ὑπὸ τοῦ δούλου θεραπεύεται ὁ ἵππος.|<span class="COI"><span class="préposition">Ὑπὸ</span><sub>+gén.</sub> <span class="régime">τοῦ δούλου</span></span> <span class="verbe">θεραπεύεται</span><sub>/ pass.</sub> <span class="sujet">ὁ ἵππος</span>.|Le cheval est soigné par l'esclave.

4.5.9|Πονηρὰ ποιοῦσιν οἱ πονηροὶ καὶ χρηστὰ οἱ χρηστοί.|<span class="bloc"><span class="COD">Πονηρὰ</span> <span class="verbe">ποιοῦσιν</span><sub>-έ-ουσῐ</sub> <span class="sujet">οἱ πονηροὶ</span></span> καὶ <span class="bloc"><span class="COD">χρηστὰ</span> <span class="sujet">οἱ χρηστοί</span></span>.|Les méchants commettent de mauvaises actions et les gens de bien de bonnes actions.

4.5.10|Ὁ τυρὸς ὑπὸ μικροῦ ζῴου τρώγεται.|<span class="sujet">Ὁ τυρὸς</span> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime"><span class="adj">μικροῦ</span> ζῴου</span></span> <span class="verbe">τρώγεται</span><sub>/ pass.</sub>.|Le fromage est rongé par un petit animal.

4.5.11|Ὑπὸ τοῦ διδασκάλου παιδεύεται τὰ τέκνα.|<span class="COI"><span class="préposition">Ὑπὸ</span><sub>+gén.</sub> <span class="régime">τοῦ διδασκάλου</span></span> <span class="verbe">παιδεύεται</span><sub>[3S] / pass.</sub> <span class="sujet">τὰ τέκνα</span><sub>[n.pl.]</sub>.|Les enfants sont éduqués par le maître d'école.

4.5.12|Οἱ τῶν ἀγρῶν καρποὶ γίγνονται καλοί.|<span class="sujet">Οἱ <span class="CDN">τῶν ἀγρῶν</span> καρποὶ</span> <span class="verbe">γίγνονται</span> <span class="attribut">καλοί</span>.|Les fruits des champs deviennent beaux.

4.5.13|Τοῖς ἀνέμοις ψύχονται οἱ ἀγροί.|<span class="COI">Τοῖς ἀνέμοις</span> <span class="verbe">ψύχονται</span><sub>/ pass.</sub> <span class="sujet">οἱ ἀγροί</span>.|Les champs sont rafraîchis par les vents.

4.5.14|Ἄγγελος πέμπεται ὑπὸ τῶν Ἀθηναίων εἰς τοὺς Κορινθίους.|<span class="sujet">Ἄγγελος</span> <span class="verbe">πέμπεται</span><sub>/ pass.</sub> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν Ἀθηναίων</span></span> <span class="CCL"><span class="préposition">εἰς</span><sub>+acc.</sub> <span class="régime">τοὺς Κορινθίους</span></span>.|Un messager est envoyé par les Athéniens aux Corinthiens.

4.5.15|Ὁ σοφὸς εὔχεται τοῖς θεοῖς πολλοὺς καὶ χρηστοὺς φίλους ἔχειν.|<span class="sujet">Ὁ σοφὸς</span> <span class="verbe">εὔχεται</span> <span class="COI">τοῖς θεοῖς</span> <span class="prop-infinitive"><span class="COD"><span class="adj">πολλοὺς καὶ χρηστοὺς</span> φίλους</span> <span class="verbe">ἔχειν</span></span>.|Le sage prie les dieux d'avoir de nombreux et bons amis. (litt. “Le sage demande aux dieux, par ses prières, d'avoir de nombreux et bons amis.”)

4.5.16|Ὁ ἄνεμος τοὺς καρποὺς κακοῖ&nbsp;· οἱ καρποὶ τοῖς ἀνέμοις κακοῦνται.|<span class="bloc"><span class="sujet">Ὁ ἄνεμος</span> <span class="COD">τοὺς καρποὺς</span> <span class="verbe">κακοῖ</span><sub>-ό-ει</sub></span>&nbsp;· <span class="bloc"><span class="sujet">οἱ καρποὶ</span> <span class="COI">τοῖς ἀνέμοις</span> <span class="verbe">κακοῦνται</span><sub>-ό-ονται / pass.</sub></span>.|Le vent abîme les fruits&nbsp;; les fruits sont abîmés par les vents.

4.5.17|Οἱ τῶν Ἀθηναίων ἀγροὶ ὑπὸ τῶν πολεμίων δῃοῦνται&nbsp;· οἱ πολέμιοι τοὺς τῶν Ἀθηναίων ἀγροὺς δῃοῦσιν.|<span class="bloc"><span class="sujet">Οἱ <span class="CDN">τῶν Ἀθηναίων</span> ἀγροὶ</span> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν πολεμίων</span></span> <span class="verbe">δῃοῦνται</span><sub>-ό-ονται / pass.</sub></span>&nbsp;· <span class="bloc"><span class="sujet">οἱ πολέμιοι</span> <span class="COD">τοὺς <span class="CDN">τῶν Ἀθηναίων</span> ἀγροὺς</span> <span class="verbe">δῃοῦσιν</span><sub>-ό-ουσῐ</sub></span>.|Les champs des Athéniens sont dévastés par les ennemis&nbsp;; les ennemis dévastent les champs des Athéniens.

4.5.18|Ὁ χρηστὸς τοὺς φίλους φιλεῖ καὶ ὑπὸ τῶν φίλων φιλεῖται καὶ τοὺς θεοὺς τιμᾷ καὶ ὑπὸ τῶν θεῶν ἀγαπᾶται καὶ οὐδέποτ' ἀδίκως δοῦλον ζημιοῖ.|<span class="sujet">Ὁ χρηστὸς</span> <span class="bloc"><span class="COD">τοὺς φίλους</span> <span class="verbe">φιλεῖ</span><sub>-έ-ει</sub></span> καὶ <span class="bloc"><span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν φίλων</span></span> <span class="verbe">φιλεῖται</span><sub>-έ-εται / pass.</sub></span> καὶ <span class="bloc"><span class="COD">τοὺς θεοὺς</span> <span class="verbe">τιμᾷ</span><sub>-ά-ει</sub></span> καὶ <span class="bloc"><span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν θεῶν</span></span> <span class="verbe">ἀγαπᾶται</span><sub>-ά-εται / pass.</sub></span> καὶ <span class="bloc"><span class="verbe adv">οὐδέποτ' ἀδίκως</span> <span class="COD">δοῦλον</span> <span class="verbe">ζημιοῖ</span><sub>-ό-ει</sub></span>.|L'honnête homme aime ses amis, est aimé de ses amis, honore les dieux, est aimé des dieux et ne punit jamais injustement un esclave.


4.6.1|Οἱ χρηστοὶ λυποῦνται τοῖς τῶν φίλων κακοῖς.|<span class="sujet">Οἱ χρηστοὶ</span> <span class="verbe">λυποῦνται</span><sub>-έ-ονται / pass.</sub> <span class="COI">τοῖς <span class="CDN">τῶν φίλων</span> κακοῖς</span>.|Les [hommes] bons sont affligés par les malheurs de leurs amis.

4.6.2|Οἱ πονηροὶ ὑπὸ τῶν θεῶν οὐ φιλοῦνται.|<span class="sujet">Οἱ πονηροὶ</span> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν θεῶν</span></span> <span class="verbe adv">οὐ</span> <span class="verbe">φιλοῦνται</span><sub>-έ-ονται / pass.</sub>.|Les [hommes] mauvais ne sont pas aimés des dieux.

4.6.3|Τοὺς πονηροὺς οὐ φιλοῦσιν οἱ θεοί.|<span class="COD">Τοὺς πονηροὺς</span> <span class="verbe adv">οὐ</span> <span class="verbe">φιλοῦσιν</span><sub>-έ-ουσῐ</sub> <span class="sujet">οἱ θεοί</span>.|Les dieux n'aiment pas les [hommes] mauvais.

